SecId,Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades,FirstTradePriceAdjusted,HighTradePriceAdjusted,LowTradePriceAdjusted,LastTradePriceAdjusted,VolumeWeightPriceAdjusted,VolumeAdjusted
33449,20200128,AAPL,04:00,312.6,312.6,311.1,311.2,311.486,1443,16,77.6145,77.6145,77.2421,77.2669,77.33795,5772
33449,20200128,AAPL,04:01,311.01,311.07,310.43,310.43,310.57852,2627,31,77.2198,77.2347,77.0758,77.0758,77.11264,10508
33449,20200128,AAPL,04:02,310.33,310.33,310.3,310.33,310.31813999999997,253,7,77.0509,77.0509,77.0435,77.0509,77.04799,1012
33449,20200128,AAPL,04:03,310.33,310.85,310.33,310.73,310.72091,220,3,77.0509,77.1800,77.0509,77.1502,77.14799,880
33449,20200128,AAPL,04:04,310.5,310.68,310.41,310.68,310.4295,240,6,77.0931,77.1378,77.0708,77.1378,77.07564,960
33449,20200128,AAPL,04:05,310.68,310.73,310.5,310.5,310.61512,1253,14,77.1378,77.1502,77.0931,77.0931,77.12172,5012
33449,20200128,AAPL,04:06,310.53,310.7,309.85,309.85,310.18974,666,25,77.1006,77.1428,76.9318,76.9318,77.01611,2664
33449,20200128,AAPL,04:07,309.8,310.11,309.8,310.1,310.0879,2139,22,76.9193,76.9963,76.9193,76.9938,76.99082,8556
33449,20200128,AAPL,04:08,310.1,310.2,310.0,310.11,310.07687999999996,170,5,76.9938,77.0187,76.9690,76.9963,76.98808,680
33449,20200128,AAPL,04:09,310.18,310.2,310.18,310.2,310.19759,83,3,77.0137,77.0187,77.0137,77.0187,77.01806,332
33449,20200128,AAPL,04:10,310.21,310.46,310.18,310.46,310.25346,153,5,77.0211,77.0832,77.0137,77.0832,77.03193,612
33449,20200128,AAPL,04:11,310.46,310.46,310.33,310.33,310.41661,436,13,77.0832,77.0832,77.0509,77.0509,77.07244,1744
33449,20200128,AAPL,04:12,310.45,310.6,310.4,310.6,310.45322000000004,752,12,77.0807,77.1180,77.0683,77.1180,77.08152,3008
33449,20200128,AAPL,04:13,310.7,310.7,310.7,310.7,310.7,34,1,77.1428,77.1428,77.1428,77.1428,77.14280,136
33449,20200128,AAPL,04:14,310.7,310.85,310.6,310.6,310.61709,117,4,77.1428,77.1800,77.1180,77.1180,77.12221,468
