Date,Open,High,Low,Close,Adj Close,Volume
2010-03-16,10642.530273,10717.419922,10594.160156,10685.980469,10685.980469,4369770000
2010-03-17,10686.360352,10787.860352,10658.099609,10733.669922,10733.669922,4963200000
2010-03-18,10733.440430,10821.490234,10686.889648,10779.169922,10779.169922,4234510000
2010-03-19,10780.000000,10869.549805,10665.349609,10741.980469,10741.980469,5212410000
2010-03-22,10741.000000,10836.679688,10672.230469,10785.889648,10785.889648,4261680000
2010-03-23,10787.179688,10906.059570,10752.410156,10888.830078,10888.830078,4411640000
2010-03-24,10887.620117,10925.480469,10788.769531,10836.150391,10836.150391,4705750000
2010-03-25,10837.509766,10985.259766,10818.769531,10841.209961,10841.209961,5668900000
2010-03-26,10841.290039,10934.849609,10801.839844,10850.360352,10850.360352,4708420000
2010-03-29,10849.230469,10954.429688,10827.910156,10895.860352,10895.860352,4375580000
2010-03-30,10895.019531,10968.559570,10837.209961,10907.419922,10907.419922,4085000000
2010-03-31,10907.339844,10933.190430,10802.219727,10856.629883,10856.629883,4484340000
2010-04-01,10857.309570,10983.139648,10851.570313,10927.070313,10927.070313,4006870000
2010-04-05,10927.450195,11026.750000,10880.360352,10973.549805,10973.549805,3881620000
2010-04-06,10972.490234,11017.759766,10893.889648,10969.990234,10969.990234,4086180000
2010-04-07,10961.950195,11000.219727,10835.769531,10897.519531,10897.519531,5101430000
2010-04-08,10896.990234,10969.919922,10810.150391,10927.070313,10927.070313,4726970000
2010-04-09,10926.919922,11032.120117,10894.190430,10997.349609,10997.349609,4511570000
2010-04-12,10996.750000,11066.959961,10957.219727,11005.969727,11005.969727,4607090000
2010-04-13,11006.719727,11072.700195,10925.860352,11019.419922,11019.419922,5403580000
2010-04-14,11020.700195,11147.139648,11004.610352,11123.110352,11123.110352,5760040000
2010-04-15,11122.959961,11189.610352,11051.309570,11144.570313,11144.570313,5995330000
2010-04-16,11143.660156,11186.820313,10947.549805,11018.660156,11018.660156,8108470000
2010-04-19,11018.360352,11116.759766,10940.599609,11092.049805,11092.049805,6597740000
2010-04-20,11093.110352,11190.219727,11045.799805,11117.059570,11117.059570,5316590000
2010-04-21,11116.910156,11217.349609,11018.589844,11124.919922,11124.919922,5724310000
2010-04-22,11119.780273,11175.330078,10975.660156,11134.290039,11134.290039,6035780000
2010-04-23,11132.179688,11247.200195,11058.870117,11204.280273,11204.280273,5326060000
2010-04-26,11205.110352,11308.950195,11150.009766,11205.030273,11205.030273,5647760000
2010-04-27,11203.669922,11260.879883,10962.809570,10991.990234,10991.990234,7454540000
2010-04-28,10988.870117,11115.629883,10938.480469,11045.269531,11045.269531,6342310000
2010-04-29,11045.639648,11232.540039,11045.639648,11167.320313,11167.320313,6059410000
2010-04-30,11168.230469,11235.940430,10984.349609,11008.610352,11008.610352,6048260000
2010-05-03,11009.599609,11203.370117,11004.150391,11151.830078,11151.830078,4938050000
2010-05-04,11149.480469,11149.480469,10843.709961,10926.769531,10926.769531,6594720000
2010-05-05,10918.400391,10984.049805,10754.299805,10868.120117,10868.120117,6795940000
2010-05-06,10862.219727,10925.860352,9787.169922,10520.320313,10520.320313,10617810000
2010-05-07,10519.419922,10622.269531,10221.500000,10380.429688,10380.429688,9472910000
2010-05-10,10386.179688,10880.139648,10386.179688,10785.139648,10785.139648,6893700000
2010-05-11,10780.000000,10888.299805,10653.709961,10748.259766,10748.259766,5842550000
2010-05-12,10742.150391,10941.879883,10725.809570,10896.910156,10896.910156,5225460000
2010-05-13,10896.610352,10952.839844,10752.719727,10782.950195,10782.950195,4870640000
2010-05-14,10780.679688,10780.679688,10509.889648,10620.160156,10620.160156,6126400000
2010-05-17,10616.980469,10707.299805,10424.719727,10625.830078,10625.830078,5922920000
2010-05-18,10625.450195,10760.049805,10463.150391,10510.950195,10510.950195,6170840000
2010-05-19,10505.700195,10558.559570,10306.219727,10444.370117,10444.370117,6765800000
2010-05-20,10440.209961,10440.209961,10042.459961,10068.009766,10068.009766,8328570000
2010-05-21,10063.929688,10225.879883,9860.929688,10193.389648,10193.389648,5452130000
2010-05-24,10193.459961,10235.629883,10028.780273,10066.570313,10066.570313,5224040000
2010-05-25,10061.429688,10061.429688,9756.110352,10043.750000,10043.750000,7329580000
2010-05-26,10045.110352,10211.599609,9937.790039,9974.450195,9974.450195,4521050000
2010-05-27,9971.730469,10279.009766,9971.730469,10258.990234,10258.990234,5698460000
2010-05-28,10258.000000,10293.450195,10078.660156,10136.629883,10136.629883,4871210000
2010-06-01,10133.940430,10249.269531,9976.559570,10024.019531,10024.019531,5271480000
2010-06-02,10025.610352,10256.570313,10007.089844,10249.540039,10249.540039,5026360000
2010-06-03,10250.669922,10348.839844,10158.919922,10255.280273,10255.280273,4995970000
2010-06-04,10249.610352,10249.610352,9881.110352,9931.969727,9931.969727,6180580000
2010-06-07,9931.750000,10025.839844,9798.730469,9816.490234,9816.490234,5467560000
2010-06-08,9812.940430,9971.570313,9726.330078,9939.980469,9939.980469,6192750000
2010-06-09,9941.570313,10093.330078,9859.040039,9899.250000,9899.250000,5983200000
2010-06-10,9901.669922,10206.610352,9901.669922,10172.530273,10172.530273,5144780000
2010-06-11,10166.780273,10235.099609,10038.309570,10211.070313,10211.070313,4059280000
2010-06-14,10211.830078,10354.969727,10175.019531,10190.889648,10190.889648,4425830000
2010-06-15,10192.400391,10416.110352,10192.400391,10404.769531,10404.769531,4644490000
2010-06-16,10404.240234,10456.389648,10289.370117,10409.459961,10409.459961,5002600000
2010-06-17,10409.980469,10479.740234,10293.490234,10434.169922,10434.169922,4557760000
2010-06-18,10435.000000,10513.750000,10379.599609,10450.639648,10450.639648,4555360000
2010-06-21,10452.459961,10627.190430,10387.540039,10442.410156,10442.410156,4514360000
2010-06-22,10441.950195,10524.780273,10276.139648,10293.519531,10293.519531,4514380000
2010-06-23,10293.299805,10393.889648,10195.809570,10298.440430,10298.440430,4526150000
2010-06-24,10297.080078,10314.309570,10112.599609,10152.799805,10152.799805,4814830000
2010-06-25,10153.480469,10261.099609,10039.969727,10143.809570,10143.809570,5128840000
2010-06-28,10143.049805,10246.820313,10070.120117,10138.519531,10138.519531,3896410000
2010-06-29,10135.719727,10135.719727,9786.450195,9870.299805,9870.299805,6136700000
2010-06-30,9868.339844,9951.469727,9741.070313,9774.019531,9774.019531,5067080000
2010-07-01,9773.269531,9834.709961,9596.040039,9732.530273,9732.530273,6435770000
2010-07-02,9732.230469,9798.190430,9603.799805,9686.480469,9686.480469,3968500000
2010-07-06,9689.209961,9880.759766,9648.259766,9743.620117,9743.620117,4691240000
2010-07-07,9736.849609,10029.929688,9716.379883,10018.280273,10018.280273,4931220000
2010-07-08,10019.259766,10175.019531,9987.019531,10138.990234,10138.990234,4548460000
2010-07-09,10137.929688,10226.480469,10079.049805,10198.030273,10198.030273,3506570000
2010-07-12,10199.240234,10260.620117,10121.129883,10216.269531,10216.269531,3426990000
2010-07-13,10217.549805,10436.200195,10217.549805,10363.019531,10363.019531,4640460000
2010-07-14,10370.959961,10423.030273,10265.160156,10366.719727,10366.719727,4521050000
2010-07-15,10367.099609,10409.490234,10216.040039,10359.309570,10359.309570,4552470000
2010-07-16,10356.200195,10356.200195,10071.629883,10097.900391,10097.900391,5297350000
